wave,completed,solve_input_tokens_mean,solve_agent_seconds_mean,active_skills,wiki_pages
1,20,2839031.55,545.5700650728841,34,27
2,20,3262573.05,642.5501332331371,54,41
3,20,3609459.3,569.6278654193094,68,52
4,20,2907584.65,490.74325300861057,89,64
5,20,2832158.8,451.98126210337375,106,81
6,20,2245917.95,366.797733743909,127,94
7,20,2563535.85,519.752975650191,148,101
8,20,2882345.95,465.797129817478,168,115
9,20,2614836.7,394.1630509344176,190,129
10,20,2204303.1,377.0701338171315,208,143
11,20,2041063.5,396.90635528632436,225,155
12,40,1099276.25,451.4748715277042,260,171
14,32,1326579.875,527.0442242100982,290,191
16,39,1563696.564102564,623.0755349803621,305,206
17,40,1537478.5,668.481382393761,306,219
18,40,1431808.125,662.7633050571208,333,237
19,40,2423518.2,430.9737487078478,365,258
20,40,2128688.05,400.5085493150999,404,284
21,39,2165430.3333333335,427.90455328920507,413,305
22,39,2592763.9487179485,481.336879340154,434,323
23,38,3873232.736842105,565.5933326803159,471,345
24,11,3186059.727272727,455.43939044918164,478,352
