instance_id,source,review_status_sequence,official_resolved,reviewer_accepted_after_revision,reviewer_calls,engineer_rounds
instance_NodeBB__NodeBB-0e07f3c9bace416cbab078a30eae972868c0a8a3-vf2cf3cbd463b7ad942381f1c6d077626485a1e9e,continuation,continue>blocked,1,0,2,2
instance_NodeBB__NodeBB-76c6e30282906ac664f2c9278fc90999b27b1f48-vd59a5728dfc977f44533186ace531248c2917516,continuation,continue>done,0,1,2,2
instance_NodeBB__NodeBB-a5afad27e52fd336163063ba40dcadc80233ae10-vd59a5728dfc977f44533186ace531248c2917516,continuation,continue>blocked,1,0,1,2
instance_NodeBB__NodeBB-cfc237c2b79d8c731bbfc6cadf977ed530bfd57a-v0495b863a912fbff5749c67e860612b91825407c,continuation,continue>blocked,1,0,1,2
instance_NodeBB__NodeBB-eb49a64974ca844bca061744fb3383f5d13b02ad-vnan,continuation,continue>blocked,1,0,2,2
instance_NodeBB__NodeBB-f2082d7de85eb62a70819f4f3396dd85626a0c0a-vd59a5728dfc977f44533186ace531248c2917516,continuation,continue>blocked,1,0,2,2
instance_ansible__ansible-189fcb37f973f0b1d52b555728208eeb9a6fce83-v906c969b551b346ef54a2c0b41e04f632b7b73c2,continuation,continue>done,1,1,2,2
instance_ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1-v0f01c69f1e2528b935359cfe578530722bca2c59,continuation,continue>done,1,1,2,2
instance_ansible__ansible-811093f0225caa4dd33890933150a81c6a6d5226-v1055803c3a812189a1133297f7f5468579283f86,continuation,continue>done,1,1,2,2
instance_ansible__ansible-de5858f48dc9e1ce9117034e0d7e76806f420ca8-v1055803c3a812189a1133297f7f5468579283f86,continuation,continue>done,0,1,2,2
instance_ansible__ansible-f02a62db509dc7463fab642c9c3458b9bc3476cc-v390e508d27db7a51eece36bb6d9698b63a5b638a,continuation,continue>done,1,1,2,2
instance_element-hq__element-web-56c7fc1948923b4b3f3507799e725ac16bcf8018-vnan,continuation,continue>continue,1,0,2,2
instance_element-hq__element-web-582a1b093fc0b77538052f45cbb9c7295f991b51-vnan,continuation,continue>blocked,1,0,2,2
instance_flipt-io__flipt-2ca5dfb3513e4e786d2b037075617cccc286d5c3,continuation,continue>continue,0,0,2,2
instance_flipt-io__flipt-3d5a345f94c2adc8a0eaa102c189c08ad4c0f8e8,continuation,continue>done,0,1,1,2
instance_flipt-io__flipt-40007b9d97e3862bcef8c20ae6c87b22ea0627f0,continuation,continue>done,1,1,1,2
instance_flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e,continuation,continue>done,1,1,2,2
instance_flipt-io__flipt-6fd0f9e2587f14ac1fdd1c229f0bcae0468c8daa,initial,continue>done,1,1,2,2
instance_flipt-io__flipt-9f8127f225a86245fa35dca4885c2daef824ee55,initial,continue>done,1,1,2,2
instance_flipt-io__flipt-b6cef5cdc0daff3ee99e5974ed60a1dc6b4b0d67,initial,continue>done,1,1,2,2
instance_flipt-io__flipt-f36bd61fb1cee4669de1f00e59da462bfeae8765,continuation,continue>continue,0,0,2,2
instance_future-architect__vuls-bff6b7552370b55ff76d474860eead4ab5de785a-v1151a6325649aaf997cd541ebe533b53fddf1b07,continuation,continue>done>done,0,1,1,1
